일자,FG(BBL),STEAM(ESSTON),ELEC(KWH),EHC,FO,H/S,L/S,Mild,CDU,RFCC,RDS,UC,Rain,ATM Temp.
2025-07-17,93769,68,5814388,0.20220504412668924,0.008366080038908782,0.26360222735201205,0.05834020282632349,0.46748644565606645,692107,174213,215107.87900000002,49819.479,0.0142,28.2793
2025-07-18,92468,521,5813342,0.13089622547995083,0.008103256309288178,0.3233916347137199,0.08454159568376146,0.45306728781327976,703069,174905,216233.464,50202.020000000004,0.0247,26.8493
2025-07-19,92088,1010,5792396,0.13077262520457547,0.00805618052721321,0.32597205740460244,0.12804874370485714,0.40715039315875184,708733,175012,216230.419,49899.084,0.059,25.5549
2025-07-20,91574,175,5798278,0.12038030012326101,0.00433128360725269,0.32389569286811154,0.13840966744615502,0.41298305595521967,712869,175110,216166.90400000004,49846.111000000004,0.0,30.351
2025-07-21,91554,262,5854261,0.18748689446999287,0.0,0.4697932078438847,0.0018161101636774086,0.340903787522445,722136,174952,215629.881,49926.665,0.0,31.1891
2025-07-22,92817,350,5881533,0.18806086345905806,0.0047388273150116116,0.49357993455891946,0.0,0.3136203746670109,741933,173883,215192.27599999995,49654.45,0.0,32.6002
2025-07-23,93799,153,5897672,0.18740183669402968,0.00757290619246447,0.47661631428662593,0.0,0.3284089428268799,734862,174451,215215.989,49872.271,0.0,32.4836
2025-07-24,92425,236,5894763,0.1859255205948034,0.007859502014349314,0.4499141989261168,0.0,0.35630077846473057,717812,173798,215609.036,49288.884,0.0,31.2572
2025-07-25,92131,428,5875349,0.1926840100281243,0.007863968311936672,0.4422936484583682,0.0,0.3571583732015708,724393,174616,215449.391,48709.203,0.0,31.5751
2025-07-26,91858,355,5875110,0.18622416111872517,0.003020273100942316,0.4056964951615698,0.019329417205997467,0.3857296534127652,725370,174564,215456.039,48722.356,0.0,31.8873
2025-07-27,90863,400,5860671,0.1696973837195855,0.002574941728900928,0.4761912082345678,0.021453455476291797,0.33008301084065406,724423,175295,215615.17,48701.058,0.0,32.4707
2025-07-28,91525,444,5884161,0.12236523401602951,0.00703417524191962,0.6567973102062824,0.0,0.21380328053576855,707099,174624,219067.347,48869.823,0.0,32.3409
2025-07-29,93663,-188,5904983,0.14854895615904326,0.007017764307898054,0.5421609131761518,0.0007249897019269594,0.3015473766549799,692441,174250,225375.93699999998,48588.814,0.0,31.6058
2025-07-30,93387,-412,5960146,0.1754527161961892,0.005834122301413579,0.4486393982466815,0.0028243626610652034,0.3672494005946505,695402,174380,228739.338,48695.34,0.0,30.9523
2025-07-31,94128,-366,5949337,0.14387438676525963,0.0,0.5017415032985958,0.016317315540520436,0.33806679439562404,682580,174556,228397.349,48649.694,0.0,31.0785
2025-08-01,93683,-235,5948400,0.07470546619317342,0.005333702478598405,0.41464881119065167,0.08225421072085397,0.4230578094167225,660468,174326,228971.12800000003,49624.704,0.0,30.6622
2025-08-02,93395,172,5940163,0.06783793183091717,0.006412371498986306,0.3915829019502815,0.09900195504449451,0.4351648396753205,658065,174153,228837.769,49426.552,0.0,32.0188
2025-08-03,92873,290,5928000,0.06630860396601365,0.006371591027968159,0.3929546322407938,0.1101282432934531,0.4242369294717714,654212,174788,228859.111,49797.98,0.1172,31.5617
2025-08-04,94594,496,5989401,0.11462363905515607,0.0011946760047782299,0.6559507972381036,0.0,0.22823088770196212,672518,174310,232648.84999999998,49277.21,0.1263,31.192
2025-08-05,96940,-840,6007232,0.11755843820071027,0.0009853367350648767,0.6714148881966822,0.0,0.21004133686754262,674167,173879,236351.71000000002,49553.376,0.0156,31.1523
2025-08-06,97942,-1038,5990578,0.11203444409245783,0.006045998387094159,0.6809605623311354,0.0,0.2009589951893125,674186,172921,235810.09999999998,49344.638,0.0,31.7585
2025-08-07,96504,-1241,5975869,0.09598303149226176,0.006052659383920724,0.7090795817434481,0.0,0.18888472738036932,673406,173101,235723.206,49365.263,0.0031,31.4167
2025-08-08,97034,-1211,6002830,0.09189622816960737,0.005891417364632988,0.7147534062166044,0.0,0.1874589482491552,674023,172800,237073.09699999995,49446.447,0.0,29.5379
