date,fg_bbl,stm_esston,elec_kwh,cdu_bbl,atm_temp,rain_mm,fg_mj,stm_mj,elec_mj,total_mj,sec_mj_per_bbl,fg_cost_mwon,stm_cost_mwon,elec_cost_mwon,total_cost_mwon,unit_cost_won_per_bbl,cqi_avg,cqi_level
2025-08-25,98999,-1362,6032473,787949,33.2271,0.0,626.70722956,-4.22059284,57.61011715000001,680.0967538699999,863.1228085447153,11203.320834,-41.25492758062947,1067.747721,12229.813627419371,15521.072591524795,0.7923701054617442,Medium
2025-08-26,99089,-1554,6037633,787156,32.4684,0.0014,627.27696916,-4.8155662800000005,57.65939515000001,680.1207980300001,864.02288495546,11213.505774,-47.07060019111468,1068.661041,12235.096214808884,15543.419874597772,0.4093968792295705,High
2025-08-27,99623,-1873,6024429,791406,30.446,0.0,630.65742412,-5.80408986,57.53329695,682.38663121,862.2459663055373,11273.936418,-56.733097913743755,1066.323933,12283.527253086255,15521.144966156757,0.5455153497741653,Medium
2025-08-28,99423,-1934,6041086,784128,29.4979,0.0,629.39133612,-5.99311788,57.692371300000005,681.09058954,868.5961852401648,11251.303218,-58.58078556603333,1069.272222,12261.994654433965,15637.746202704107,0.4384788226165575,High
2025-08-29,99891,-2239,6041421,766264,33.2282,0.0,632.35398204,-6.93825798,57.69557055000001,683.11129461,891.4829544517295,11304.264906,-67.8192238274812,1069.331517,12305.77719917252,16059.448439666381,0.5431335672154417,Medium
2025-08-30,98013,-2245,5951722,618564,33.5821,0.0,620.4654157199999,-6.9568509,56.838945100000004,670.34750992,1083.7156865255656,11091.739158,-68.00096359655885,1053.454794,12077.192988403442,19524.564941385925,0.13704930449389832,High
2025-08-31,97908,-2516,5883307,535246,30.3889,0.0021,619.80071952,-7.79663112,56.18558185,668.18967025,1248.37863384313,11079.856728,-76.20954316656662,1041.345339,12044.992523833433,22503.657241405697,0.2567469260671856,High
2025-09-01,97395,-2632,5893850,529103,29.5716,0.0003,616.5532038,-8.15609424,56.28626750000001,664.68337706,1256.2457159759063,11021.80257,-79.72317870206811,1043.21145,11985.290841297932,22652.093904774556,0.346559735773184,High
2025-09-02,96682,-2589,5851881,526246,28.3966,0.0142,612.0396000799999,-8.02284498,55.885463550000004,659.90221865,1253.9804932484046,10941.115212,-78.42071035701153,1035.782937,11898.477438642989,22610.105233375623,0.27125141564626465,High
2025-09-03,96472,-2607,5857698,526779,28.3669,0.0,610.7102076799999,-8.07862374,55.941015900000004,658.57259984,1250.1876495456347,10917.350352,-78.96592966424451,1036.812546,11875.196968335757,22543.034115512874,0.2338498684751791,High
2025-09-04,95325,-2297,5860988,528094,29.383,0.0,603.449193,-7.11798954,55.97243540000001,652.30363886,1235.2036547660075,10787.54895,-69.57604159523194,1037.394876,11755.367784404769,22259.991184154274,0.6142729253260654,Medium
2025-09-05,95768,-2328,5872758,526967,29.3852,0.001,606.25357792,-7.21405296,56.08483890000001,655.12436386,1243.1980823467125,10837.681488,-70.51503040213319,1039.478166,11806.644623597867,22404.90319810893,0.27981617510731666,High
2025-09-06,95480,-2209,5850064,570009,30.4805,0.0,604.4304112,-6.845293380000001,55.8681112,653.45322902,1146.3910728076223,10805.08968,-66.91052498209287,1035.461328,11773.640483017905,20655.183484853584,0.2379194385832144,High
2025-09-07,95770,-490,5893697,690083,31.6674,0.0,606.2662388,-1.5184218,56.284806350000004,661.03262335,957.9030686888389,10837.90782,-14.842081141342467,1043.184369,11866.25010785866,17195.395492801097,1.4723892433739378,Low
2025-09-08,95452,-1336,6001975,747181,29.436,0.0,604.25315888,-4.14002352,57.318861250000005,657.43199661,879.8831830707687,10801.921032,-40.46738858129293,1062.349575,11823.803218418707,15824.550167119756,1.274338886001905,Low
2025-09-09,97894,-1958,6003135,745480,24.2721,0.0306,619.71209336,-6.06748956,57.32993925000001,670.9745430500001,900.0570679964587,11078.272404,-59.307744642343984,1062.554895,12081.519554357656,16206.363087349971,1.4623652314224007,Low
2025-09-10,97790,-1583,6037987,745143,26.103,0.0,619.0537275999999,-4.905432060000001,57.66277585,671.8110713899999,901.5867711164166,11066.50314,-47.94900907499005,1068.723699,12087.277829925011,16221.420358139325,0.7057836762201918,Medium
